Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
10TACLE Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.11,,,,,,,,,,,
1C Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.09999999999999999,,,,,,,
20th Century Fox Video Games,,1.35,1.9400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,
3DO,,,,,,,,,,,,,,,,,,,0.4,4.540000000000001,7.620000000000001,9.070000000000002,9.670000000000002,10.120000000000001,,,,,,,,,,,,,,,
49Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
505 Games,,,,,,,,,,,,,,,,,,,,,,,0.29,0.39,1.2800000000000002,2.5500000000000007,10.04,20.470000000000002,23.240000000000002,30.810000000000002,45.07,48.37,50.709999999999994,53.019999999999996,54.76,55.37,55.91,,
5pb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09999999999999999,0.28,0.5700000000000001,0.8400000000000001,1.1,1.2400000000000002,1.37,1.59,1.6300000000000001,,
7G//AMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.08,,,,,,,
989 Sports,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
989 Studios,,,,,,,,,,,,,,,,,,0.52,8.06,13.32,,,,,,,,,,,,,,,,,,,
AQ Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.38,0.53,,,,,,,,,
ASC Games,,,,,,,,,,,,,,,,,1.31,,1.9700000000000002,2.02,,,,,,,,,,,,,,,,,,,
ASCII Entertainment,,,,,,,,,,,,,,,0.87,2.12,4.99,8.31,8.73,10.57,,10.89,,,,,,,,,,,,,,,,,
ASCII Media Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,0.25,0.26,,,0.27,,,,
ASK,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
Abylight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,
Acclaim Entertainment,,,,,,,,,,,,,,1.93,7.67,10.129999999999999,13.36,17.849999999999998,31.559999999999995,35.38999999999999,40.97999999999999,50.669999999999995,58.419999999999995,63.07999999999999,64.13999999999999,,,,,,,,,,,,,,
Accolade,,,,,,,,,,,,,,,,,0.19,1.49,,1.68,,,,,,,,,,,,,,,,,,,
Ackkstudios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.18,0.5900000000000001,0.8400000000000001,,,,,,
Acquire,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.19,0.27,0.49,0.79,0.96,,1.07,,,,
Activision,3.02,11.52,13.379999999999999,15.319999999999999,15.589999999999998,16.069999999999997,,17.189999999999998,17.939999999999998,18.409999999999997,,,,,20.489999999999995,24.699999999999996,26.649999999999995,29.199999999999996,36.739999999999995,44.309999999999995,58.78999999999999,77.38,103.32,124.7,163.93,199.32000000000002,216.72000000000003,280.29,347.7,425.76,489.15,540.89,594.14,637.63,682.11,717.74,721.41,,
Activision Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,
Activision Value,,,,,,,,,,,,,,,,,,,,,,0.21,0.3,1.27,1.33,1.3800000000000001,1.6300000000000001,2.21,3.67,6.96,,,,,,,,,
Adeline Software,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,
Aerosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,,,
Agatsuma Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,0.28,0.31000000000000005,,,,,
Agetec,,,,,,,,,,,,,,,,,,0.03,0.22,,,,1.51,1.9,,,,,,1.94,,,,,,,,,
Aksys Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.19999999999999998,0.31999999999999995,0.43999999999999995,,
Alawar Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.05,,,
Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.43,1.73,1.81,2.07,2.29,2.42,2.55,,2.63,,,
