,Rank,Global_Sales,Genre,labels
0,1,82.74,Sports,4
1,2,40.24,Pltform,3
2,3,35.82,Racing,3
3,4,33.0,Sports,3
4,5,31.37,Role_Playing,3
5,6,30.26,Puzzle,3
6,7,30.01,Pltform,3
7,8,29.02,Misc,3
8,9,28.62,Pltform,3
9,10,28.31,Shooter,3
10,11,24.76,Simulation,3
11,12,23.42,Racing,3
12,13,23.1,Role_Playing,3
13,14,22.72,Sports,3
14,15,22.0,Sports,3
15,16,21.82,Misc,3
16,17,21.4,Action,3
17,18,20.81,Action,3
18,19,20.61,Pltform,3
19,20,20.22,Misc,3
20,21,18.36,Role_Playing,3
21,22,18.14,Pltform,3
22,23,17.28,Pltform,3
23,24,16.38,Action,5
24,25,16.15,Action,5
25,26,15.85,Role_Playing,5
26,27,15.32,Role_Playing,5
27,28,15.3,Puzzle,5
28,29,14.98,Racing,5
29,30,14.76,Shooter,5
30,31,14.64,Role_Playing,5
31,32,14.64,Shooter,5
32,33,14.35,Role_Playing,5
33,34,14.24,Shooter,5
34,35,14.03,Shooter,5
35,36,13.73,Shooter,5
36,37,13.51,Shooter,5
37,38,13.46,Shooter,5
38,39,13.1,Action,5
39,40,13.04,Fighting,5
40,41,12.73,Shooter,5
41,42,12.27,Simulation,5
42,43,12.21,Racing,5
43,44,12.14,Shooter,5
44,45,11.98,Action,5
45,46,11.9,Action,5
46,47,11.89,Pltform,5
47,48,11.66,Racing,5
48,49,11.52,Pltform,5
49,50,11.33,Role_Playing,5
50,51,11.18,Adventure,5
51,52,11.02,Action,5
52,53,10.95,Racing,5
53,54,10.79,Pltform,5
54,55,10.77,Racing,5
55,56,10.69,Shooter,5
56,57,10.57,Action,5
57,58,10.55,Pltform,5
58,59,10.49,Role_Playing,5
59,60,10.42,Pltform,5
60,61,10.26,Misc,5
61,62,10.21,Shooter,5
62,63,9.88,Shooter,5
63,64,9.87,Racing,5
64,65,9.82,Pltform,5
65,66,9.76,Shooter,5
66,67,9.72,Role_Playing,5
67,68,9.59,Shooter,5
68,69,9.52,Misc,5
69,70,9.49,Racing,5
70,71,9.32,Shooter,5
71,72,9.3,Pltform,5
72,73,9.2,Misc,5
73,74,9.09,Simulation,5
74,75,9.02,Misc,5
75,76,8.84,Role_Playing,5
76,77,8.76,Racing,5
77,78,8.49,Sports,5
78,79,8.49,Misc,5
79,80,8.49,Shooter,5
80,81,8.42,Misc,5
81,82,8.33,Role_Playing,5
82,83,8.24,Action,5
83,84,8.11,Simulation,5
84,85,8.09,Shooter,5
85,86,8.06,Sports,5
86,87,8.05,Role_Playing,5
87,88,7.86,Role_Playing,5
88,89,7.84,Role_Playing,5
89,90,7.81,Puzzle,5
90,91,7.72,Action,5
91,92,7.69,Pltform,5
92,93,7.67,Shooter,5
93,94,7.6,Shooter,5
94,95,7.6,Action,5
95,96,7.58,Pltform,5
96,97,7.46,Pltform,5
97,98,7.45,Fighting,5
98,99,7.37,Shooter,5
99,100,7.34,Shooter,5
100,101,7.31,Action,5
101,102,7.3,Shooter,5
102,103,7.27,Misc,5
103,104,7.23,Shooter,5
104,105,7.2,Racing,5
105,106,7.16,Fighting,5
106,107,7.13,Pltform,5
107,108,7.07,Fighting,5
108,109,6.96,Racing,5
109,110,6.96,Role_Playing,5
110,111,6.95,Racing,5
111,112,6.91,Misc,5
112,113,6.9,Sports,5
113,114,6.9,Racing,5
114,115,6.83,Shooter,5
115,116,6.83,Action,5
116,117,6.82,Pltform,5
117,118,6.81,Sports,5
118,119,6.76,Shooter,5
119,120,6.73,Action,5
120,121,6.72,Shooter,5
121,122,6.69,Sports,5
122,123,6.67,Misc,5
123,124,6.6,Action,5
124,125,6.59,Sports,5
125,126,6.59,Pltform,5
126,127,6.56,Role_Playing,5
127,128,6.51,Action,5
128,129,6.5,Action,5
129,130,6.43,Shooter,5
130,131,6.41,Role_Playing,5
131,132,6.4,Role_Playing,5
132,133,6.39,Role_Playing,5
133,134,6.36,Shooter,5
134,135,6.34,Action,5
135,136,6.31,Pltform,5
136,137,6.3,Fighting,5
137,138,6.28,Role_Playing,5
138,139,6.27,Action,5
139,140,6.24,Sports,5
140,141,6.24,Shooter,5
141,142,6.11,Shooter,5
142,143,6.05,Action,5
143,144,6.03,Pltform,5
144,145,6.03,Action,5
145,146,6.03,Action,5
146,147,5.99,Action,5
147,148,5.95,Role_Playing,5
148,149,5.92,Pltform,5
149,150,5.84,Role_Playing,5
150,151,5.83,Action,5
151,152,5.82,Action,5
152,153,5.74,Fighting,0
153,154,5.72,Simulation,0
154,155,5.65,Shooter,0
155,156,5.58,Puzzle,0
156,157,5.57,Action,0
157,158,5.55,Fighting,0
158,159,5.55,Adventure,0
159,160,5.53,Action,0
160,161,5.51,Racing,0
161,162,5.5,Role_Playing,0
162,163,5.49,Pltform,0
163,164,5.47,Racing,0
164,165,5.46,Pltform,0
165,166,5.45,Strategy,0
166,167,5.43,Shooter,0
167,168,5.42,Pltform,0
168,169,5.42,Misc,0
169,170,5.36,Role_Playing,0
170,171,5.34,Puzzle,0
171,172,5.31,Misc,0
172,173,5.3,Action,0
173,174,5.3,Role_Playing,0
174,175,5.29,Role_Playing,0
175,176,5.27,Pltform,0
176,177,5.27,Action,0
177,178,5.26,Puzzle,0
178,179,5.24,Action,0
179,181,5.21,Role_Playing,0
180,182,5.2,Role_Playing,0
181,183,5.2,Pltform,0
182,184,5.19,Pltform,0
183,185,5.19,Pltform,0
184,186,5.18,Action,0
185,187,5.17,Action,0
186,188,5.15,Pltform,0
187,189,5.15,Simulation,0
188,190,5.14,Sports,0
189,191,5.13,Shooter,0
190,192,5.13,Pltform,0
191,193,5.13,Role_Playing,0
192,194,5.13,Shooter,0
193,195,5.12,Simulation,0
194,196,5.12,Misc,0
195,197,5.11,Action,0
196,198,5.08,Action,0
197,199,5.08,Action,0
198,200,5.08,Sports,0
199,201,5.07,Pltform,0
200,202,5.05,Action,0
201,203,5.02,Sports,0
202,204,5.02,Fighting,0
203,205,5.01,Strategy,0
204,206,5.0,Pltform,0
205,207,5.0,Shooter,0
206,208,4.98,Misc,0
207,209,4.96,Role_Playing,0
208,210,4.96,Role_Playing,0
209,211,4.94,Action,0
210,212,4.91,Sports,0
211,213,4.9,Action,0
212,214,4.88,Racing,0
213,215,4.87,Role_Playing,0
214,216,4.85,Puzzle,0
215,217,4.84,Action,0
216,218,4.83,Strategy,0
217,219,4.83,Adventure,0
218,220,4.82,Sports,0
219,221,4.79,Racing,0
220,222,4.77,Sports,0
221,223,4.76,Action,0
222,224,4.73,Action,0
223,225,4.7,Racing,0
224,226,4.68,Sports,0
225,227,4.68,Simulation,0
226,228,4.67,Action,0
227,229,4.64,Racing,0
228,230,4.63,Action,0
229,231,4.62,Misc,0
230,232,4.61,Action,0
231,233,4.6,Action,0
232,234,4.58,Sports,0
233,235,4.58,Action,0
234,236,4.57,Shooter,0
235,237,4.55,Action,0
236,238,4.53,Misc,0
237,239,4.53,Sports,0
238,240,4.5,Pltform,0
239,241,4.49,Sports,0
240,242,4.48,Action,0
241,243,4.47,Role_Playing,0
242,244,4.47,Action,0
243,245,4.45,Shooter,0
244,246,4.45,Action,0
245,247,4.44,Misc,0
246,248,4.42,Misc,0
247,249,4.41,Sports,0
248,250,4.39,Sports,0
249,251,4.39,Role_Playing,0
250,252,4.38,Adventure,0
251,253,4.37,Racing,0
