,Rank,Global_Sales,Genre,labels
0,1,82.74,Sports,3
1,2,40.24,Pltform,1
2,3,35.82,Racing,1
3,4,33.0,Sports,1
4,5,31.37,Role_Playing,1
5,6,30.26,Puzzle,1
6,7,30.01,Pltform,1
7,8,29.02,Misc,1
8,9,28.62,Pltform,1
9,10,28.31,Shooter,1
10,11,24.76,Simulation,1
11,12,23.42,Racing,1
12,13,23.1,Role_Playing,1
13,14,22.72,Sports,1
14,15,22.0,Sports,1
15,16,21.82,Misc,1
16,17,21.4,Action,1
17,18,20.81,Action,1
18,19,20.61,Pltform,1
19,20,20.22,Misc,1
20,21,18.36,Role_Playing,1
21,22,18.14,Pltform,1
22,23,17.28,Pltform,1
23,24,16.38,Action,2
24,25,16.15,Action,2
25,26,15.85,Role_Playing,2
26,27,15.32,Role_Playing,2
27,28,15.3,Puzzle,2
28,29,14.98,Racing,2
29,30,14.76,Shooter,2
30,31,14.64,Role_Playing,2
31,32,14.64,Shooter,2
32,33,14.35,Role_Playing,2
33,34,14.24,Shooter,2
34,35,14.03,Shooter,2
35,36,13.73,Shooter,2
36,37,13.51,Shooter,2
37,38,13.46,Shooter,2
38,39,13.1,Action,2
39,40,13.04,Fighting,2
40,41,12.73,Shooter,2
41,42,12.27,Simulation,2
42,43,12.21,Racing,2
43,44,12.14,Shooter,2
44,45,11.98,Action,2
45,46,11.9,Action,2
46,47,11.89,Pltform,2
47,48,11.66,Racing,2
48,49,11.52,Pltform,2
49,50,11.33,Role_Playing,2
50,51,11.18,Adventure,2
51,52,11.02,Action,2
52,53,10.95,Racing,2
53,54,10.79,Pltform,2
54,55,10.77,Racing,2
55,56,10.69,Shooter,2
56,57,10.57,Action,2
57,58,10.55,Pltform,2
58,59,10.49,Role_Playing,2
59,60,10.42,Pltform,2
60,61,10.26,Misc,2
61,62,10.21,Shooter,2
62,63,9.88,Shooter,2
63,64,9.87,Racing,2
64,65,9.82,Pltform,2
65,66,9.76,Shooter,2
66,67,9.72,Role_Playing,2
67,68,9.59,Shooter,2
68,69,9.52,Misc,2
69,70,9.49,Racing,2
70,71,9.32,Shooter,2
71,72,9.3,Pltform,2
72,73,9.2,Misc,2
73,74,9.09,Simulation,2
74,75,9.02,Misc,2
75,76,8.84,Role_Playing,2
76,77,8.76,Racing,2
77,78,8.49,Sports,2
78,79,8.49,Misc,2
79,80,8.49,Shooter,2
80,81,8.42,Misc,2
81,82,8.33,Role_Playing,2
82,83,8.24,Action,2
83,84,8.11,Simulation,2
84,85,8.09,Shooter,2
85,86,8.06,Sports,2
86,87,8.05,Role_Playing,2
87,88,7.86,Role_Playing,2
88,89,7.84,Role_Playing,2
89,90,7.81,Puzzle,2
90,91,7.72,Action,2
91,92,7.69,Pltform,2
92,93,7.67,Shooter,2
93,94,7.6,Shooter,2
94,95,7.6,Action,2
95,96,7.58,Pltform,2
96,97,7.46,Pltform,2
97,98,7.45,Fighting,2
98,99,7.37,Shooter,2
99,100,7.34,Shooter,2
100,101,7.31,Action,2
101,102,7.3,Shooter,2
102,103,7.27,Misc,2
103,104,7.23,Shooter,2
104,105,7.2,Racing,2
105,106,7.16,Fighting,2
106,107,7.13,Pltform,2
107,108,7.07,Fighting,2
108,109,6.96,Racing,2
109,110,6.96,Role_Playing,2
110,111,6.95,Racing,2
111,112,6.91,Misc,2
112,113,6.9,Sports,2
113,114,6.9,Racing,2
114,115,6.83,Shooter,2
115,116,6.83,Action,2
116,117,6.82,Pltform,2
117,118,6.81,Sports,2
118,119,6.76,Shooter,2
119,120,6.73,Action,2
120,121,6.72,Shooter,2
121,122,6.69,Sports,2
122,123,6.67,Misc,2
123,124,6.6,Action,2
124,125,6.59,Sports,2
125,126,6.59,Pltform,2
126,127,6.56,Role_Playing,2
127,128,6.51,Action,2
128,129,6.5,Action,2
129,130,6.43,Shooter,2
130,131,6.41,Role_Playing,2
131,132,6.4,Role_Playing,2
132,133,6.39,Role_Playing,2
133,134,6.36,Shooter,2
134,135,6.34,Action,2
135,136,6.31,Pltform,2
136,137,6.3,Fighting,2
137,138,6.28,Role_Playing,2
138,139,6.27,Action,2
